"Content Page Element
XD file  • Mobile prototype  •  Desktop prototypes linked below",,No of Variants,"Styling variation
The character style elements that can be changed are: alignment (where possible), font, weight, size, colour, opacity, line spacing, letter spacing, text container width (where possible)",Rules & Testing,Integration Notes,Design,,Assigned to:,F/E,Assigned to:,B/E,Assigned to:,"Inetgration
details",QA,Tested by:,FE Notes
,,,,,,1440px,375px,,,,,,,,,
,"Margin Rules (external)
(375, 1440, 2560px)","Screens 375px - 1440px -2560px
Margin A: 60px - 90px - 140px
Margin B: 40px - 50px - 70px
Margin C: 30px - 40px - 60px
Margin D: 20px - 30px - 30px",,,,,,,,,,,,,,
,"Padding Rules (internal)
(375, 1440, 2560px)","1440px done, 375 and 2560px to be finished",,,,,,,,,,,,,,
TEXT FORMATTING.,"Headings 1, 2, 3, 4",-,"Character styles: 
- Heading 1, 
- Heading 2, Heading 2 (bold)
- Heading 3, Heading 3 (bold)
- Heading 4, Heading 4 (bold)","Heading 1-4:
☐ Individual words are not breaking; instead the text uses end-of-line hyphenation (especially relevant for mobile)
Heading 1:
☐ The text container is wider than the rest of the page's text",,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,TRUE,Florian,<h1> etc.,FALSE,,
,Featured Paragraph (top of the page),2,"Variant 1:
Internal padding
Character styles: Featured Paragraph, Featured Paragraph (bold)
Background: solid colour / image  with or without an overlay 
SVG added within the background container (e.g. logo watermark)

Variant 2:
Character styles: Featured Paragraph, Featured Paragraph (bold)","☐ The featured paragraph under the header is not mandatory on the page.
☐ The input field in the CMS should be separate from the main editor.
☐ Top-of-the-page featured paragraph (Variant 1)'s text container is wider than the rest of the page's text
NEW ☐ Variant 1 has no external padding above it (simply no gap between the header and the featured paragraph's background)
NEW ☐ Variant 1's alignment should be centred by default. Variant 2's alignment should be left-aligned by default. Both can be overridden if the user changes the alignment manually in the CMS editor.",,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,TRUE,Florian,First Paragraph text box,FALSE,,"- either is left aligned by default on all cases or centered based on likings, we don't have left alignment in cms "
,Featured Paragraph (inline),,"Character styles: Featured Paragraph, Featured Paragraph (bold)","☐ Formatting for this is chosen from the dropdown and can be applied to any text
☐ The text container should be bound to the content width (only the top-of-the-page featured paragraph can be wider than the content width)
☐ Left-aligned by default. The alignment can be changed manually by the user.",,TRUE,TRUE,Natalia Gasior,TRUE,,TRUE,,,FALSE,,
,Featured Text,-,"Character styles: Featured Text, Featured Text (bold)",,,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,TRUE,Florian,p.featuredText,FALSE,,
,Quote Styling,-,"""quote marks"" - replace svg
Character styles: Quote","☐ On mobile, the quote marks are above & below the text to allow it as much space as possible
☐ Left-aligned by default. The alignment can be changed manually by the user.",,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,TRUE,Florian,<q>,FALSE,,
,Body Copy,-,"Character styles: Body copy, Body Copy (bold)",,,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,TRUE,Florian,<b>,FALSE,,
,"Inline link (regular, PDF, email, new window)",-,"Character styles: Inline Link
icon colour & thickness (or ability to replace the svg)
with and without underline
underline thickness & shape (e.g. wavy, straight, hand-drawn, etc - can be added as repeatable svg)
spacing between text & underline",☐ Icon is never widowed,,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,TRUE,Florian,<a>,FALSE,,
,Buttons,-,"Character styles: Button
Button:
- internal padding
- rounded corners (individually)
- border (colour, thickness & opacity)
- fill (colour and opacity)
- drop shadow","☐ When a button is very long & wraps onto more than one line,  a single word is never widowed
☐ All three types of buttons (primary, secondary, tertiary) work across the site 
☐ All button types behave correctly when a lot of text has been inputted",,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,TRUE,Florian,<button>,FALSE,,
,Bullet Point List,-,"Shape: colour, opacity, rounded corners (individually), angle, ideally a replaceable SVG
Character styles: Body copy, Body copy (bold)","☐ The text uses body copy styling
☐ It is possible to indent the text within the bullet point list",,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,TRUE,Florian,<ul>,FALSE,,
,Numbered List,-,"Number: colour, font, weight, size
Character styles: Body copy, Body copy (bold)
Shape: colour, opacity, rounded corners (individually), angle, ideally a replaceable SVG","☐ The text uses body copy styling
☐ It is possible to indent the text within the numbered list",,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,TRUE,Florian,<ol>,FALSE,,
,Table,-,"Character styles: Body copy, Body Copy (bold)
Table: 
- Background colour & opacity
- Line thickness, colour & opacity
- Rounded corners
- Drop shadow","☐ When the table is wider than the content container, a fade* & scroll bar appear
*Use a fade instead of a gradient, so that its colour is the same as the background's colour. ",,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,TRUE,Florian,<table>,FALSE,,
,Divider,-,"Width, thickness, colour, opacity
Possible to replace with a repeatable SVG","☐ The padding of other widgets, placed above/below the divider, doesn't add to the divider's padding

☐ Approx padding above & below divider:
375px screen: 60px padding
(1440px screen: 90px padding)
2560px screen: 165px padding",,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,TRUE,Florian,<hr>,FALSE,,
CONTENT TEMPLATES,"Content Templates (half-half)
image + HTML (& reverse)
image carousel + HTML  (& reverse)
video + HTML  (& reverse)
",2,"Character styles: all
Background: colour, opacity, SVG added within the background container (e.g. logo watermark)

","☐ On mobile (up to 1259px), the HTML content is always positioned below the image/video content (e.g. IMG+HTML and HTML+IMG look the same on mobile).
☐ The image carousel content template should always feature a gradient above the image and beneath the pagination.
☐ Add a new field to CMS that allows you to add either a cover image or a video preview (optional, if not added, the video player fills the space) 
☐ When the video is clicked, it opens a pop-up.
☐ Template has a minimum height regardless of how little HTML has been added:
   1. Range 1 (media above HTML):
   - screen 375px-1259px: n/a, follow Padding Rule 2 (below)
   2. Range 2 (media next to HTML): 
   - screen 1260px: minimum 560px height
   - screen 2560px: minimum 840px height

☐ PADDING RULE (internal)
Approx Internal Padding (above and below the HTML) should be:
• Range 1 (media above HTML):
screen 375px: 40px padding
screen 1259px: 85px padding
• Range 2 (media next to HTML): 
screen 1260px: 85px padding (above & below HTML)
screen 2560px: 200px padding (above & below HTML)

☐ MARGIN RULE (external)
Reduce margin to 0px when the content template is placed above or below an element that is full-width and has a background. These include:
- another half-half content template*,
- full-width content template,
- full-width video,
- header (all types),
- featured Paragraph (variant 1),
- event full-width promo (both variants),
- admissions calculator (variant 1),
- tickertape (variant 2),
- notices list (both variants),
- events list (both variants)
- donations calculator,
- quote carousel (variant 1),
- widget carousel with a background (Upcoming Events, Related Stories).

* If the designer chooses variant 2 for the half-half content templates (which don't have a background), reduce the padding to 50% instead of changing it to 0px
",,TRUE,TRUE,Natalia Gasior,TRUE,Daniel,FALSE,Florian,{content-templates},FALSE,,
